id,start_lat,start_lng,end_lat,end_lng
1377,-6.24156000,106.85333700,-6.24369700,106.86701500
1378,-6.25321200,106.80314800,-6.26302400,106.80852200
1379,-6.21843200,106.89982700,-6.21784400,106.90561000
1380,-6.21356800,106.82958100,-6.21693600,106.82950800
1381,-6.24847100,106.79392200,-6.25452600,106.79076400
1382,-6.24538400,106.67295400,-6.24334200,106.67421000
1383,-6.25927300,106.76603700,-6.26376600,106.76178100
1384,-6.16668000,106.88050800,-6.16634900,106.88232500
1385,-6.30642600,106.67446900,-6.30217800,106.67155500
1386,-6.22720700,106.85736600,-6.23024100,106.85184800
1387,-6.18883800,106.75577300,-6.18665900,106.75843000
1388,-6.20422300,106.80885900,-6.20176300,106.80612900
1389,-6.26305000,106.78476500,-6.26293400,106.78573100
1390,-6.19682800,106.78144100,-6.19667400,106.78441300
1391,-6.22463400,106.86799100,-6.22505600,106.86232200
1392,-6.29705100,106.77614400,-6.29293700,106.77184700
1393,-6.29530900,106.69870000,-6.29585800,106.69892600
1394,-6.15685900,106.78276700,-6.15515100,106.78984900
1395,-6.27843700,106.72195400,-6.27629200,106.72322100
1396,-6.19833900,106.76270800,-6.19957800,106.76002500
1397,-6.28328500,106.80561900,-6.28224900,106.80360300
1398,-6.20940900,106.81765700,-6.21115600,106.82045700
1399,-6.22933300,106.82146800,-6.22624300,106.81935000
1400,-6.26119600,106.86721500,-6.26715900,106.86204600
1401,-6.24762400,106.78141800,-6.26043600,106.78898000
1402,-6.18562000,106.64057800,-6.18672600,106.63389600
1403,-6.26684000,106.97022900,-6.26589800,106.97345800
1404,-6.15648800,106.76527600,-6.16211600,106.76110200
1405,-6.57034000,106.73938700,-6.57237700,106.74150200
1406,-6.23651400,106.75019900,-6.23273500,106.76009700
1407,-6.22325900,106.85010100,-6.22158100,106.84843300
1408,-6.26788300,106.74409100,-6.27821300,106.75209500
1409,-6.22984600,106.84993100,-6.23109100,106.84944100
1410,-6.23443500,106.87676300,-6.23042100,106.87396100
1411,-6.19210000,106.87395200,-6.19238200,106.87665100
1412,-6.22145900,106.82569100,-6.22191400,106.82586800
1413,-6.17993700,106.81805300,-6.17780600,106.81597600
1414,-6.22526300,106.76052200,-6.22600900,106.75407800
1415,-6.16634900,106.89032100,-6.16374300,106.88245700
1416,-6.18651500,106.84134700,-6.18733600,106.84147900
1417,-6.16790400,106.83198300,-6.17276800,106.83406700
1418,-6.21222800,106.81233700,-6.21310100,106.81267700
1419,-6.30605200,106.68096400,-6.30842900,106.68033600
1420,-6.23245600,106.89168700,-6.23286700,106.88790600
1421,-6.15843000,106.81850000,-6.15870600,106.81576400
1422,-6.19815300,106.85273000,-6.19314200,106.85276000
1423,-6.17514400,106.83035600,-6.17256700,106.83067400
1424,-6.20039400,106.87315500,-6.19545600,106.87109500
1425,-6.14649200,106.89696900,-6.14681300,106.90185800
1426,-6.25408400,106.85517600,-6.25549900,106.84951500
1427,-6.25877100,106.78160800,-6.25926000,106.77441600
1428,-6.19999400,106.78755100,-6.20070600,106.78488200
1429,-6.13805600,106.86514500,-6.14521300,106.86309600
1430,-6.19682300,106.81733200,-6.19584600,106.81641300
1431,-6.20937400,106.81215500,-6.20775100,106.80913000
1432,-6.20192900,106.79955000,-6.20126600,106.79918400
1433,-6.25603500,106.85639700,-6.25641200,106.84983700
1434,-6.21457300,106.83038400,-6.21808800,106.82837800
1435,-6.19968300,106.74153300,-6.19572500,106.73637100
1436,-6.12366800,106.65248500,-6.12283700,106.65309700
1437,-6.20062000,106.78252800,-6.20079500,106.78431100
1438,-6.16754100,106.79974700,-6.16884800,106.79943700
1439,-6.25890600,106.94946900,-6.27060400,106.94313800
1440,-6.19196800,106.87319100,-6.18855500,106.87288800
1441,-6.23539400,106.86802800,-6.24250100,106.87258300
1442,-6.23139800,106.58501300,-6.23268300,106.58573300
1443,-6.19802100,106.89533000,-6.20057300,106.89765300
1444,-6.19862300,106.73881100,-6.19600800,106.71903600
1445,-6.20890600,106.85957200,-6.20533300,106.86115700
1446,-6.14828800,106.90950200,-6.14821600,106.91565600
1447,-6.19309700,106.85283100,-6.19387600,106.84982800
1448,-6.29586200,106.81510700,-6.29512400,106.80351200
1449,-6.25576700,106.66954600,-6.25798400,106.66599500
1450,-6.28758600,106.93944000,-6.28518400,106.93395000
1451,-6.19421900,106.81809000,-6.19590500,106.81762900
1452,-6.21776900,106.93827500,-6.21828000,106.93677600
1453,-6.23505900,106.97859800,-6.23522100,106.98141400
1454,-6.16641600,106.79706400,-6.17040200,106.79922600
1455,-6.18930300,106.84606500,-6.18876100,106.84461500
1456,-6.21995900,106.83033100,-6.21850900,106.83094700
1457,-6.19519100,106.84966000,-6.19454100,106.84932600
1458,-6.18539900,106.74179300,-6.18485800,106.73495400
1459,-6.18700700,106.61533400,-6.18309900,106.61345700
1460,-6.19225600,106.86072300,-6.18709100,106.86134200
1461,-6.25979000,106.78164800,-6.25346100,106.78156900
1462,-6.16531100,106.79380800,-6.16087900,106.78857100
1463,-6.19688900,106.76893800,-6.19823200,106.76538200
1464,-6.21379300,106.73214900,-6.21081400,106.73437000
1465,-6.19323800,106.85548800,-6.19300800,106.85344300
1466,-6.21472800,106.82386400,-6.21617700,106.82301500
1467,-6.20111300,106.79968700,-6.19746700,106.80189000
1468,-6.27174500,106.79777000,-6.26754800,106.79621600
1469,-6.30222300,106.80536500,-6.30479300,106.80421100
1470,-6.19548000,106.83671800,-6.20211000,106.84281200
1471,-6.22269800,106.89932500,-6.22363200,106.89428500
1472,-6.31141500,106.68113900,-6.31047000,106.67680500
1473,-6.16967500,106.72069100,-6.17318700,106.71903800
1474,-6.16328300,106.77429500,-6.16915300,106.78394300
1475,-6.12925900,106.77689400,-6.12895100,106.77738800
1476,-6.28842600,106.77667100,-6.29213000,106.77543100
1477,-6.19271800,106.77925900,-6.19922600,106.78239300
1478,-6.20368100,106.82540300,-6.20618500,106.82977200
1479,-6.23346900,106.85698200,-6.22855300,106.85598800
1480,-6.17986800,106.74872100,-6.18234100,106.76466300
1481,-6.30304600,106.71597600,-6.31102800,106.72369800
1482,-6.21087200,106.86001200,-6.20879300,106.86210300
1483,-6.20821700,106.78955100,-6.20430800,106.79281700
1484,-6.21384300,106.73200300,-6.21629700,106.73779700
1485,-6.13469700,106.83162500,-6.13574600,106.83251100
1486,-6.15373100,106.81753900,-6.15298300,106.81427100
1487,-6.39634900,106.85002200,-6.39552300,106.85136100
